id,full_name,first_name,last_name,is_active,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,MIN,OREB,PF,PF_AST,PF_BLK,PF_DREB,PF_FG3A,PF_FG3M,PF_FG3_PCT,PF_FGA,PF_FGM,PF_FG_PCT,PF_FTA,PF_FTM,PF_FT_PCT,PF_GP,PF_GS,PF_MIN,PF_OREB,PF_PF,PF_PTS,PF_REB,PF_STL,PF_TOV,PTS,REB,STL,TOV,APG,BPG,DRPG,FG3APG,FG3MPG,FGAPG,FGMPG,FPG,FTAPG,FTMPG,MPG,ORPG,PF_APG,PF_BPG,PF_DRPG,PF_FG3APG,PF_FG3MPG,PF_FGAPG,PF_FGMPG,PF_FPG,PF_FTAPG,PF_FTMPG,PF_MPG,PF_ORPG,PF_PPG,PF_RPG,PF_SPG,PF_TPG,PPG,RPG,SPG,TPG,1st Team All-Defensive Team,1st Team All-NBA,1st Team All-Rookie Team,1st Team NBA Cup All-Tournament Team,2nd Team All-Defensive Team,2nd Team All-NBA,2nd Team All-Rookie Team,3rd Team All-NBA,NBA All-Star,NBA All-Star Most Valuable Player,NBA Champion,NBA Clutch Player of the Year,NBA Cup Most Valuable Player,NBA Defensive Player of the Month,NBA Defensive Player of the Year,NBA Finals Most Valuable Player,NBA Most Improved Player,NBA Most Valuable Player,NBA Player of the Month,NBA Player of the Week,NBA Rookie of the Month,NBA Rookie of the Year,NBA Sixth Man of the Year,NBA Sporting News Most Valuable Player of the Year,NBA Sporting News Rookie of the Year,NBA Sportsmanship,Olympic Appearance,Olympic Bronze Medal,Olympic Gold Medal,Olympic Silver Medal,Hall of Fame Inductee,IBM Award,J. Walter Kennedy Citizenship,NBA All-Star Selection,NBA Comeback Player of the Year
202689,Kemba Walker,Kemba,Walker,False,3938.0,282.0,2413.0,4642.0,1670.0,0.359758724687,11954.0,4999.0,0.418186381127,3354.0,2818.0,0.840190816935,750.0,697.0,24809.0,418.0,1111.0,150.0,14.0,107.0,210.0,68.0,0.323809523809,505.0,208.0,0.411881188118,144.0,125.0,0.868055555555,31.0,31.0,1131.0,10.0,69.0,609.0,117.0,33.0,67.0,14486.0,2831.0,923.0,1574.0,5.3,0.4,3.2,6.2,2.2,15.9,6.7,1.5,4.5,3.8,33.1,0.6,4.8,0.5,3.5,6.8,2.2,16.3,6.7,2.2,4.6,4.0,36.5,0.3,19.6,3.8,1.1,2.2,19.3,3.8,1.2,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630640,M.J. Walker,MJ,Walker,False,1.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.0,2.0,0.0,0.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629022,Lonnie Walker IV,Lonnie,Walker IV,False,518.0,93.0,703.0,1396.0,497.0,0.356017191977,3007.0,1268.0,0.421682740272,484.0,385.0,0.795454545454,342.0,95.0,7025.0,88.0,453.0,14.0,1.0,13.0,35.0,13.0,0.371428571428,68.0,32.0,0.470588235294,12.0,9.0,0.75,19.0,0.0,200.0,1.0,16.0,86.0,14.0,7.0,4.0,3418.0,791.0,184.0,306.0,1.5,0.3,2.1,4.1,1.5,8.8,3.7,1.3,1.4,1.1,20.5,0.3,0.7,0.1,0.7,1.8,0.7,3.6,1.7,0.8,0.6,0.5,10.5,0.1,4.5,0.7,0.4,0.2,10.0,2.3,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202322,John Wall,John,Wall,False,5735.0,439.0,2343.0,2021.0,651.0,0.322117763483,10171.0,4373.0,0.429947891062,3468.0,2691.0,0.775951557093,647.0,604.0,22586.0,361.0,1394.0,364.0,41.0,139.0,131.0,35.0,0.267175572519,682.0,286.0,0.419354838709,247.0,203.0,0.821862348178,37.0,37.0,1433.0,20.0,84.0,810.0,159.0,64.0,145.0,12088.0,2704.0,1045.0,2412.0,8.9,0.7,3.6,3.1,1.0,15.7,6.8,2.2,5.4,4.2,34.9,0.6,9.8,1.1,3.8,3.5,0.9,18.4,7.7,2.3,6.7,5.5,38.7,0.5,21.9,4.3,1.7,3.9,18.7,4.2,1.6,3.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627820,Tyrone Wallace,Tyrone,Wallace,False,127.0,22.0,192.0,82.0,17.0,0.20731707317,528.0,223.0,0.422348484848,157.0,103.0,0.656050955414,112.0,19.0,1714.0,44.0,192.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.25,3.0,2.0,0.666666666666,2.0,0.0,10.0,0.0,2.0,4.0,1.0,0.0,1.0,566.0,236.0,58.0,94.0,1.1,0.2,1.7,0.7,0.2,4.7,2.0,1.7,1.4,0.9,15.3,0.4,1.5,0.0,0.5,0.0,0.0,2.0,0.5,1.0,1.5,1.0,5.0,0.0,2.0,0.5,0.0,0.5,5.1,2.1,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628476,Derrick Walton Jr.,Derrick,Walton Jr.,False,64.0,7.0,36.0,54.0,20.0,0.37037037037,90.0,32.0,0.355555555555,19.0,17.0,0.894736842105,45.0,4.0,503.0,6.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,42.0,21.0,18.0,1.4,0.2,0.8,1.2,0.4,2.0,0.7,0.8,0.4,0.4,11.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.9,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202954,Brad Wanamaker,Brad,Wanamaker,False,464.0,33.0,280.0,243.0,73.0,0.300411522633,843.0,355.0,0.421115065243,290.0,263.0,0.906896551724,191.0,3.0,3084.0,49.0,306.0,33.0,4.0,32.0,28.0,13.0,0.464285714285,67.0,32.0,0.477611940298,20.0,17.0,0.85,21.0,0.0,289.0,2.0,32.0,94.0,34.0,14.0,20.0,1046.0,329.0,123.0,189.0,2.4,0.2,1.5,1.3,0.4,4.4,1.9,1.6,1.5,1.4,16.1,0.3,1.6,0.2,1.5,1.3,0.6,3.2,1.5,1.5,1.0,0.8,13.8,0.1,4.5,1.6,0.7,1.0,5.5,1.7,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203933,T.J. Warren,T.J.,Warren,False,446.0,181.0,1035.0,772.0,271.0,0.35103626943,4502.0,2274.0,0.505108840515,869.0,678.0,0.780207134637,385.0,236.0,10365.0,480.0,867.0,16.0,4.0,26.0,27.0,8.0,0.296296296296,89.0,38.0,0.426966292134,13.0,12.0,0.923076923076,13.0,4.0,248.0,9.0,21.0,96.0,35.0,10.0,12.0,5497.0,1515.0,353.0,365.0,1.2,0.5,2.7,2.0,0.7,11.7,5.9,2.3,2.3,1.8,26.9,1.2,1.2,0.3,2.0,2.1,0.6,6.8,2.9,1.6,1.0,0.9,19.1,0.7,7.4,2.7,0.8,0.9,14.3,3.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630613,Duane Washington Jr.,Duane,Washington Jr.,False,148.0,7.0,113.0,326.0,121.0,0.371165644171,683.0,267.0,0.390922401171,85.0,62.0,0.729411764705,79.0,10.0,1361.0,6.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,119.0,32.0,91.0,1.9,0.1,1.4,4.1,1.5,8.6,3.4,1.1,1.1,0.8,17.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.5,0.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631102,TyTy Washington Jr.,TyTy,Washington Jr.,False,74.0,3.0,57.0,112.0,27.0,0.241071428571,235.0,84.0,0.35744680851,24.0,13.0,0.541666666666,61.0,2.0,636.0,7.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,64.0,23.0,20.0,1.2,0.0,0.9,1.8,0.4,3.9,1.4,0.6,0.4,0.2,10.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,1.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
