id,full_name,first_name,last_name,is_active,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,MIN,OREB,PF,PF_AST,PF_BLK,PF_DREB,PF_FG3A,PF_FG3M,PF_FG3_PCT,PF_FGA,PF_FGM,PF_FG_PCT,PF_FTA,PF_FTM,PF_FT_PCT,PF_GP,PF_GS,PF_MIN,PF_OREB,PF_PF,PF_PTS,PF_REB,PF_STL,PF_TOV,PTS,REB,STL,TOV,APG,BPG,DRPG,FG3APG,FG3MPG,FGAPG,FGMPG,FPG,FTAPG,FTMPG,MPG,ORPG,PF_APG,PF_BPG,PF_DRPG,PF_FG3APG,PF_FG3MPG,PF_FGAPG,PF_FGMPG,PF_FPG,PF_FTAPG,PF_FTMPG,PF_MPG,PF_ORPG,PF_PPG,PF_RPG,PF_SPG,PF_TPG,PPG,RPG,SPG,TPG,1st Team All-Defensive Team,1st Team All-NBA,1st Team All-Rookie Team,2nd Team All-Defensive Team,2nd Team All-NBA,2nd Team All-Rookie Team,3rd Team All-NBA,Hall of Fame Inductee,IBM Award,J. Walter Kennedy Citizenship,NBA All-Star,NBA All-Star Most Valuable Player,NBA All-Star Selection,NBA Champion,NBA Comeback Player of the Year,NBA Defensive Player of the Year,NBA Finals Most Valuable Player,NBA Most Improved Player,NBA Most Valuable Player,NBA Player of the Month,NBA Player of the Week,NBA Rookie of the Month,NBA Rookie of the Year,NBA Sixth Man of the Year,NBA Sporting News Most Valuable Player of the Year,NBA Sporting News Rookie of the Year,NBA Sportsmanship,Olympic Appearance,Olympic Bronze Medal,Olympic Gold Medal,Olympic Silver Medal
1629726,Garrison Mathews,Garrison,Mathews,False,233.0,63.0,473.0,1267.0,484.0,0.382004735595,1490.0,604.0,0.405369127516,505.0,423.0,0.837623762376,329.0,65.0,5681.0,97.0,583.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,4.0,0.8,3.0,0.0,17.0,0.0,4.0,4.0,2.0,0.0,0.0,2115.0,570.0,170.0,131.0,0.7,0.2,1.4,3.9,1.5,4.5,1.8,1.8,1.5,1.3,17.3,0.3,0.0,0.0,0.7,1.3,0.0,1.3,0.0,1.3,1.7,1.3,5.7,0.0,1.3,0.7,0.0,0.0,6.4,1.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629751,Dakota Mathias,Dakota,Mathias,False,14.0,3.0,8.0,32.0,10.0,0.313,54.0,21.0,0.389,6.0,2.0,0.333,14.0,2.0,139.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,9.0,2.0,1.0,1.0,0.2,0.6,2.3,0.7,3.9,1.5,0.6,0.4,0.1,9.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.6,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202083,Wesley Matthews,Wesley,Matthews,False,1843.0,204.0,2259.0,4914.0,1845.0,0.375457875457,9123.0,3822.0,0.418941137783,2090.0,1721.0,0.823444976076,986.0,757.0,28579.0,498.0,1999.0,77.0,20.0,146.0,307.0,108.0,0.351791530944,547.0,214.0,0.391224862888,146.0,118.0,0.808219178082,66.0,59.0,2034.0,44.0,177.0,654.0,190.0,67.0,69.0,11210.0,2757.0,925.0,1071.0,1.9,0.2,2.3,5.0,1.9,9.3,3.9,2.0,2.1,1.7,29.0,0.5,1.2,0.3,2.2,4.7,1.6,8.3,3.2,2.7,2.2,1.8,30.8,0.7,9.9,2.9,1.0,1.0,11.4,2.8,0.9,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630219,Skylar Mays,Skylar,Mays,False,182.0,7.0,95.0,145.0,50.0,0.344827586206,389.0,173.0,0.44473007712,64.0,55.0,0.859375,105.0,16.0,1111.0,27.0,61.0,2.0,0.0,3.0,0.0,0.0,0.0,6.0,5.0,0.833333333333,0.0,0.0,0.0,9.0,0.0,26.0,0.0,2.0,10.0,3.0,3.0,1.0,451.0,122.0,48.0,49.0,1.7,0.1,0.9,1.4,0.5,3.7,1.6,0.6,0.6,0.5,10.6,0.3,0.2,0.0,0.3,0.0,0.0,0.7,0.6,0.2,0.0,0.0,2.9,0.0,1.1,0.3,0.3,0.1,4.3,1.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629667,Jalen McDaniels,Jalen,McDaniels,False,292.0,84.0,651.0,540.0,174.0,0.322222222222,1414.0,635.0,0.449080622347,328.0,255.0,0.77743902439,252.0,45.0,4550.0,178.0,485.0,5.0,0.0,13.0,9.0,3.0,0.333333333333,20.0,8.0,0.4,0.0,0.0,0.0,8.0,0.0,101.0,3.0,8.0,19.0,16.0,1.0,3.0,1699.0,829.0,165.0,215.0,1.2,0.3,2.6,2.1,0.7,5.6,2.5,1.9,1.3,1.0,18.1,0.7,0.6,0.0,1.6,1.1,0.4,2.5,1.0,1.0,0.0,0.0,12.6,0.4,2.4,2.0,0.1,0.4,6.7,3.3,0.7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201580,JaVale McGee,JaVale,McGee,False,386.0,1258.0,2953.0,78.0,15.0,0.192307692307,5110.0,2955.0,0.578277886497,1627.0,982.0,0.603564843269,909.0,343.0,14676.0,1624.0,1923.0,30.0,74.0,180.0,6.0,0.0,0.0,292.0,180.0,0.616438356164,98.0,56.0,0.571428571428,74.0,23.0,916.0,115.0,145.0,416.0,295.0,21.0,50.0,6907.0,4577.0,345.0,896.0,0.4,1.4,3.2,0.1,0.0,5.6,3.3,2.1,1.8,1.1,16.1,1.8,0.4,1.0,2.4,0.1,0.0,3.9,2.4,2.0,1.3,0.8,12.4,1.6,5.6,4.0,0.3,0.7,7.6,5.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1630787,Cameron McGriff,Cameron,McGriff,False,3.0,1.0,9.0,6.0,2.0,0.333,14.0,5.0,0.357,2.0,2.0,1.0,3.0,0.0,46.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0,0.0,1.0,0.3,3.0,2.0,0.7,4.7,1.7,2.3,0.7,0.7,15.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203585,Rodney McGruder,Rodney,McGruder,False,381.0,50.0,632.0,836.0,301.0,0.360047846889,1622.0,681.0,0.419852034525,241.0,162.0,0.672199170124,317.0,132.0,6157.0,253.0,459.0,2.0,0.0,7.0,5.0,2.0,0.4,9.0,4.0,0.444444444444,0.0,0.0,0.0,9.0,0.0,31.0,1.0,3.0,10.0,8.0,0.0,0.0,1825.0,885.0,161.0,190.0,1.2,0.2,2.0,2.6,0.9,5.1,2.1,1.4,0.8,0.5,19.4,0.8,0.2,0.0,0.8,0.6,0.2,1.0,0.4,0.3,0.0,0.0,3.4,0.1,1.1,0.9,0.0,0.0,5.8,2.8,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628035,Alfonzo McKinnie,Alfonzo,McKinnie,False,57.0,27.0,300.0,258.0,84.0,0.325581395348,615.0,287.0,0.466666666666,108.0,63.0,0.583333333333,182.0,9.0,2114.0,154.0,266.0,4.0,1.0,34.0,34.0,10.0,0.294117647058,62.0,26.0,0.419354838709,10.0,4.0,0.4,24.0,1.0,246.0,17.0,33.0,66.0,51.0,2.0,6.0,721.0,454.0,51.0,71.0,0.3,0.1,1.6,1.4,0.5,3.4,1.6,1.5,0.6,0.3,11.6,0.8,0.2,0.0,1.4,1.4,0.4,2.6,1.1,1.4,0.4,0.2,10.3,0.7,2.8,2.1,0.1,0.3,4.0,2.5,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630605,JaQuori McLaughlin,JaQuori,McLaughlin,False,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.5,0.0,0.3,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
