id,full_name,first_name,last_name,is_active,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,MIN,OREB,PF,PF_AST,PF_BLK,PF_DREB,PF_FG3A,PF_FG3M,PF_FG3_PCT,PF_FGA,PF_FGM,PF_FG_PCT,PF_FTA,PF_FTM,PF_FT_PCT,PF_GP,PF_GS,PF_MIN,PF_OREB,PF_PF,PF_PTS,PF_REB,PF_STL,PF_TOV,PTS,REB,STL,TOV
76048,Wally Anderzunas,Wally,Anderzunas,False,9,,,,,,166,65,0.39156626506,46,29,0.630434782608,44,,370,,47,,,,,,,,,,,,,,,,,,,,,,159,82,,
101149,Martynas Andriuskevicius,Martynas,Andriuskevicius,False,0,0,3,0,0,0.0,1,0,0.0,0,0,0.0,6,0,9,1,1,,,,,,,,,,,,,,,,,,,,,,0,4,2,0
76049,Don Anielak,Don,Anielak,False,0,,,,,,4,0,0.0,4,3,0.75,1,,10,,0,,,,,,,,,,,,,,,,,,,,,,3,2,,
1628387,Ike Anigbogu,Ike,Anigbogu,False,1,4,6,0,0,0.0,12,4,0.333333333333,6,5,0.833333333333,14,0,35,6,1,,,,,,,,,,,,,,,,,,,,,,13,12,1,3
76050,Michael Ansley,Michael,Ansley,False,67,24,310,0,0,0.0,746,383,0.513404825737,360,260,0.722222222222,149,6,2143,311,284,,,,,,,,,,,,,,,,,,,,,,1026,621,51,85
1512,Chris Anstey,Chris,Anstey,False,127,65,356,29,4,0.137931034482,734,303,0.412806539509,269,203,0.754646840148,155,23,2157,178,373,,,,,,,,,,,,,,,,,,,,,,813,534,78,147
1628961,Kostas Antetokounmpo,Kostas,Antetokounmpo,False,3,4,17,0,0,0.0,16,6,0.375,19,9,0.473684210526,22,0,86,6,10,,,,,,,,,,,,,,,,,,,,,,21,23,4,13
2546,Carmelo Anthony,Carmelo,Anthony,False,3422,644,5825,4873,1731,0.355222655448,22643,10119,0.446893079538,7764,6320,0.814013395157,1260,1120,43513,1983,3543,204.0,29.0,404.0,312.0,101.0,0.323717948717,1614.0,669.0,0.414498141263,575.0,475.0,0.826086956521,83.0,77.0,3090.0,153.0,298.0,1914.0,557.0,100.0,218.0,28289,7808,1223,3052
21,Greg Anthony,Greg,Anthony,False,2997,79,1146,1748,610,0.348970251716,4750,1914,0.402947368421,1445,1059,0.732871972318,757,227,15851,271,1324,234.0,18.0,96.0,194.0,57.0,0.293814432989,425.0,154.0,0.362352941176,140.0,90.0,0.642857142857,102.0,3.0,1597.0,28.0,207.0,455.0,124.0,82.0,94.0,5497,1417,887,1043
201202,Joel Anthony,Joel,Anthony,False,99,531,791,0,0,0.0,776,398,0.512886597938,405,268,0.661728395061,490,110,7057,562,819,15.0,72.0,121.0,0.0,0.0,0.0,104.0,50.0,0.480769230769,63.0,47.0,0.746031746031,66.0,16.0,1157.0,84.0,128.0,147.0,205.0,17.0,27.0,1064,1353,127,227
